TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Go out to eat on the weekend with my family,Watch The Last Kingdom on Netflix while eating,0.01,0.01,4.4,0.0
2,Learn new science related things with my classmates,Play puzzle games on my phone in my room,0.02,0.01,8.8,0.0
3,Read Cinder by Marissa Meyer on my porch,Go to Tennessee with my family to our cabin,0.03,0.01,3.3,1.0
4,Watch The Last Kingdom on Netflix while eating,Learn new science related things with my classmates,0.04,0.01,1.1,1.0
5,Learn new science related things with my classmates,Eat jerk chicken alfredo in my kitchen,0.05,0.01,1.1,0.0
6,Go to Six Flags with my friends amd family during the summer,Watch The Last Kingdom on Netflix while eating,0.01,0.02,3.3,0.0
7,Play Red Dead Redemption 2 in my room on my Xbox,Go shopping at the mall with my friends,0.02,0.02,1.1,1.0
8,Play puzzle games on my phone in my room,Go to Tennessee with my family to our cabin,0.03,0.02,1.1,1.0
9,Go to the movies to watch anything horror related while it is hot outside,Go to Tennessee with my family to our cabin,0.04,0.02,4.4,1.0
10,Watch any Marvel movies on the weekends with my family,Go to a history museum in the spring and seeing really cool artifacts,0.05,0.02,1.1,0.0
11,Rewatch Money Heist in my bedroom,Learn new science related things with my classmates,0.01,0.03,3.3,1.0
12,Watch The Last Kingdom on Netflix while eating,Go bowling with my friends and family at night in the summer,0.02,0.03,4.4,1.0
13,Go to a history museum in the spring and seeing really cool artifacts,Go trick or treating with my friends/family on Halloween,0.03,0.03,1.1,1.0
14,Eat jerk chicken alfredo in my kitchen,Go bowling with my friends and family at night in the summer,0.04,0.03,3.3,1.0
15,Watch any Marvel movies on the weekends with my family,Go to the movies to watch anything horror related while it is hot outside,0.05,0.03,4.4,0.0
16,Go shopping at the mall with my friends,Listen to Billie Eilish while taking a shower,0.01,0.04,1.1,0.0
17,Listen to Billie Eilish while taking a shower,Read new books with my aunt and uncle on the weekend,0.02,0.04,8.8,1.0
18,Listen to Billie Eilish while taking a shower,Go to the movies with my friends at night on Friday,0.03,0.04,3.3,1.0
19,Eat jerk chicken alfredo in my kitchen,Go trick or treating with my friends/family on Halloween,0.04,0.04,3.3,1.0
20,Learn new science related things with my classmates,Watch the full Harry Potter series in my living room,0.05,0.04,1.1,0.0
21,Listen to Billie Eilish while taking a shower,Go trick or treating with my friends/family on Halloween,0.01,0.05,8.8,1.0
22,Read Cinder by Marissa Meyer on my porch,Go bowling with my friends and family at night in the summer,0.02,0.05,4.4,1.0
23,Go to a history museum in the spring and seeing really cool artifacts,Go to Tennessee with my family to our cabin,0.03,0.05,1.1,1.0
24,Go bowling with my friends and family at night in the summer,Watch the full Harry Potter series in my living room,0.04,0.05,4.4,0.0
25,Go bowling with my friends and family at night in the summer,Listen to Billie Eilish while taking a shower,0.05,0.05,3.3,0.0
26,Go trick or treating with my friends/family on Halloween,Read Cinder by Marissa Meyer on my porch,0.01,0.01,4.4,0.0
27,Read Cinder by Marissa Meyer on my porch,Read new books with my aunt and uncle on the weekend,0.02,0.01,3.3,1.0
28,Read new books with my aunt and uncle on the weekend,Watch The Last Kingdom on Netflix while eating,0.03,0.01,3.3,0.0
29,Go shopping at the mall with my friends,Watch The Last Kingdom on Netflix while eating,0.04,0.01,4.4,0.0
30,Go trick or treating with my friends/family on Halloween,Watch The Last Kingdom on Netflix while eating,0.05,0.01,8.8,0.0
31,Go shopping at the mall with my friends,Play puzzle games on my phone in my room,0.01,0.02,8.8,0.0
32,Go to a history museum in the spring and seeing really cool artifacts,Learn new science related things with my classmates,0.02,0.02,1.1,1.0
33,Go to the movies with my friends at night on Friday,Rewatch Money Heist in my bedroom,0.03,0.02,4.4,0.0
34,Go to Six Flags with my friends amd family during the summer,Eat jerk chicken alfredo in my kitchen,0.04,0.02,3.3,0.0
35,Go trick or treating with my friends/family on Halloween,Play Red Dead Redemption 2 in my room on my Xbox,0.05,0.02,1.1,0.0
36,Watch any Marvel movies on the weekends with my family,Listen to Billie Eilish while taking a shower,0.01,0.03,3.3,0.0
37,Watch The Last Kingdom on Netflix while eating,Go to the movies with my friends at night on Friday,0.02,0.03,1.1,1.0
38,Learn new science related things with my classmates,Go to the movies to watch anything horror related while it is hot outside,0.03,0.03,1.1,0.0
39,Watch any Marvel movies on the weekends with my family,Read Cinder by Marissa Meyer on my porch,0.04,0.03,3.3,0.0
40,Go out to eat on the weekend with my family,Watch the full Harry Potter series in my living room,0.05,0.03,4.4,0.0
41,Go to Tennessee with my family to our cabin,Play Red Dead Redemption 2 in my room on my Xbox,0.01,0.04,1.1,0.0
42,Eat jerk chicken alfredo in my kitchen,Read new books with my aunt and uncle on the weekend,0.02,0.04,3.3,1.0
43,Go to the movies with my friends at night on Friday,Watch the full Harry Potter series in my living room,0.03,0.04,1.1,0.0
44,Go to the movies with my friends at night on Friday,Go to a history museum in the spring and seeing really cool artifacts,0.04,0.04,1.1,0.0
45,Go to the movies to watch anything horror related while it is hot outside,Go trick or treating with my friends/family on Halloween,0.05,0.04,4.4,1.0
46,Watch any Marvel movies on the weekends with my family,Play puzzle games on my phone in my room,0.01,0.05,8.8,0.0
47,Go shopping at the mall with my friends,Read Cinder by Marissa Meyer on my porch,0.02,0.05,1.1,0.0
48,Learn new science related things with my classmates,Listen to Billie Eilish while taking a shower,0.03,0.05,4.4,0.0
49,Go to the movies to watch anything horror related while it is hot outside,Go to Six Flags with my friends amd family during the summer,0.04,0.05,3.3,1.0
50,Play Red Dead Redemption 2 in my room on my Xbox,Read new books with my aunt and uncle on the weekend,0.05,0.05,1.1,1.0
51,Eat jerk chicken alfredo in my kitchen,Go out to eat on the weekend with my family,0.01,0.01,1.1,1.0
52,Watch the full Harry Potter series in my living room,Watch any Marvel movies on the weekends with my family,0.02,0.01,3.3,1.0
53,Watch The Last Kingdom on Netflix while eating,Go to Tennessee with my family to our cabin,0.03,0.01,1.1,1.0
54,Eat jerk chicken alfredo in my kitchen,Go to the movies with my friends at night on Friday,0.04,0.01,4.4,1.0
55,Read Cinder by Marissa Meyer on my porch,Learn new science related things with my classmates,0.05,0.01,1.1,1.0
56,Go to a history museum in the spring and seeing really cool artifacts,Go to Six Flags with my friends amd family during the summer,0.01,0.02,8.8,1.0
57,Go to the movies to watch anything horror related while it is hot outside,Go to the movies with my friends at night on Friday,0.02,0.02,4.4,1.0
58,Go bowling with my friends and family at night in the summer,Play puzzle games on my phone in my room,0.03,0.02,4.4,0.0
59,Read new books with my aunt and uncle on the weekend,Watch the full Harry Potter series in my living room,0.04,0.02,4.4,0.0
60,Rewatch Money Heist in my bedroom,Go to Tennessee with my family to our cabin,0.05,0.02,1.1,1.0
61,Go bowling with my friends and family at night in the summer,Rewatch Money Heist in my bedroom,0.01,0.03,3.3,0.0
62,Go bowling with my friends and family at night in the summer,Play Red Dead Redemption 2 in my room on my Xbox,0.02,0.03,3.3,0.0
63,Learn new science related things with my classmates,Play Red Dead Redemption 2 in my room on my Xbox,0.03,0.03,3.3,0.0
64,Go to a history museum in the spring and seeing really cool artifacts,Go bowling with my friends and family at night in the summer,0.04,0.03,1.1,1.0
65,Go to Six Flags with my friends amd family during the summer,Rewatch Money Heist in my bedroom,0.05,0.03,1.1,0.0
66,Go to the movies to watch anything horror related while it is hot outside,Go bowling with my friends and family at night in the summer,0.01,0.04,1.1,1.0
67,Read new books with my aunt and uncle on the weekend,Play puzzle games on my phone in my room,0.02,0.04,8.8,0.0
68,Go out to eat on the weekend with my family,Listen to Billie Eilish while taking a shower,0.03,0.04,4.4,0.0
69,Play Red Dead Redemption 2 in my room on my Xbox,Go to the movies with my friends at night on Friday,0.04,0.04,1.1,1.0
70,Go shopping at the mall with my friends,Go to the movies to watch anything horror related while it is hot outside,0.05,0.04,1.1,0.0
71,Go out to eat on the weekend with my family,Rewatch Money Heist in my bedroom,0.01,0.05,3.3,0.0
72,Read new books with my aunt and uncle on the weekend,Go to a history museum in the spring and seeing really cool artifacts,0.02,0.05,8.8,0.0
73,Rewatch Money Heist in my bedroom,Go trick or treating with my friends/family on Halloween,0.03,0.05,3.3,1.0
74,Go trick or treating with my friends/family on Halloween,Play puzzle games on my phone in my room,0.04,0.05,4.4,0.0
75,Go to Tennessee with my family to our cabin,Eat jerk chicken alfredo in my kitchen,0.05,0.05,3.3,0.0
76,Go to Tennessee with my family to our cabin,Watch the full Harry Potter series in my living room,0.01,0.01,1.1,0.0
77,Rewatch Money Heist in my bedroom,Read new books with my aunt and uncle on the weekend,0.02,0.01,8.8,1.0
78,Go to Six Flags with my friends amd family during the summer,Watch the full Harry Potter series in my living room,0.03,0.01,1.1,0.0
79,Play puzzle games on my phone in my room,Go to Six Flags with my friends amd family during the summer,0.04,0.01,1.1,1.0
80,Watch the full Harry Potter series in my living room,Go shopping at the mall with my friends,0.05,0.01,4.4,1.0
81,Go to a history museum in the spring and seeing really cool artifacts,Go shopping at the mall with my friends,0.01,0.02,3.3,1.0
82,Play puzzle games on my phone in my room,Go out to eat on the weekend with my family,0.02,0.02,4.4,1.0
83,Read Cinder by Marissa Meyer on my porch,Go to the movies with my friends at night on Friday,0.03,0.02,1.1,1.0
84,Read Cinder by Marissa Meyer on my porch,Go to Six Flags with my friends amd family during the summer,0.04,0.02,3.3,1.0
85,Go out to eat on the weekend with my family,Read Cinder by Marissa Meyer on my porch,0.05,0.02,3.3,0.0
86,Rewatch Money Heist in my bedroom,Go shopping at the mall with my friends,0.01,0.03,1.1,1.0
87,Watch The Last Kingdom on Netflix while eating,Watch any Marvel movies on the weekends with my family,0.02,0.03,4.4,1.0
88,Play Red Dead Redemption 2 in my room on my Xbox,Go out to eat on the weekend with my family,0.03,0.03,1.1,1.0
89,Watch any Marvel movies on the weekends with my family,Eat jerk chicken alfredo in my kitchen,0.04,0.03,3.3,0.0
90,Go to the movies to watch anything horror related while it is hot outside,Go out to eat on the weekend with my family,0.05,0.03,8.8,1.0
91,Go to Six Flags with my friends amd family during the summer,Listen to Billie Eilish while taking a shower,0.01,0.04,3.3,0.0
92,Go trick or treating with my friends/family on Halloween,Watch the full Harry Potter series in my living room,0.02,0.04,8.8,0.0
93,Eat jerk chicken alfredo in my kitchen,Go shopping at the mall with my friends,0.03,0.04,1.1,1.0
94,Play Red Dead Redemption 2 in my room on my Xbox,Go to Six Flags with my friends amd family during the summer,0.04,0.04,4.4,1.0
95,Play puzzle games on my phone in my room,Go to the movies with my friends at night on Friday,0.05,0.04,4.4,1.0
96,Read new books with my aunt and uncle on the weekend,Go to the movies to watch anything horror related while it is hot outside,0.01,0.05,3.3,0.0
97,Go to a history museum in the spring and seeing really cool artifacts,Go out to eat on the weekend with my family,0.02,0.05,1.1,1.0
98,Play Red Dead Redemption 2 in my room on my Xbox,Watch any Marvel movies on the weekends with my family,0.03,0.05,1.1,1.0
99,Go to Tennessee with my family to our cabin,Listen to Billie Eilish while taking a shower,0.04,0.05,3.3,0.0
100,Watch any Marvel movies on the weekends with my family,Rewatch Money Heist in my bedroom,0.05,0.05,4.4,0.0
