TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Organize soccer matches with my brothers,Look at the lake on a nice and sunny day,0.01,0.01,4.4,0.0
2,Take a jog at the park on a cool day,Go to the city on Friday nights with my partner to try out a new restaurant,0.02,0.01,8.8,1.0
3,go to my favorite coffee shop,Go to the city on Friday nights with my partner to try out a new restaurant,0.03,0.01,3.3,1.0
4,Draw my dog on a cool day at the park,Play online video games with my two childhood friends on Tuesday nights,0.04,0.01,1.1,1.0
5,Feed the birds in the park on a sunny day,Get Starbucks and go thrift shopping with my best friend,0.05,0.01,1.1,1.0
6,Play basketball on a sunny day,Go to the bar with my classmates after a good Sunday evening study session,0.01,0.02,3.3,1.0
7,Jam out with my band on Saturday nights after a long work week,Draw my dog on a cool day at the park,0.02,0.02,1.1,0.0
8,Get Starbucks and go thrift shopping with my best friend,Play basketball on a sunny day,0.03,0.02,1.1,0.0
9,Eat my favorite foods and playing my favorite video games on a rainy day,Watch football with my family,0.04,0.02,4.4,1.0
10,Jam out with my band on Saturday nights after a long work week,Draw pictures of my favorite anime characters in a light room,0.05,0.02,1.1,0.0
11,Jam out with my band on Saturday nights after a long work week,Play basketball on a sunny day,0.01,0.03,3.3,0.0
12,Organize soccer matches with my brothers,Draw pictures of my favorite anime characters in a light room,0.02,0.03,4.4,0.0
13,Draw my dog on a cool day at the park,Watch football with my family,0.03,0.03,1.1,1.0
14,Draw pictures of my favorite anime characters in a light room,Get Starbucks and go thrift shopping with my best friend,0.04,0.03,3.3,1.0
15,Watch football with my family,Take a jog at the park on a cool day,0.05,0.03,4.4,0.0
16,Jam out with my band on Saturday nights after a long work week,Feed the birds in the park on a sunny day,0.01,0.04,1.1,0.0
17,Play online video games with my two childhood friends on Tuesday nights,Play my favorite video games in a dark room,0.02,0.04,8.8,0.0
18,Play online video games with my two childhood friends on Tuesday nights,Draw pictures of my favorite anime characters in a light room,0.03,0.04,3.3,0.0
19, Do monthly bowling outings with coworkers,Look at the lake on a nice and sunny day,0.04,0.04,3.3,0.0
20,Go on mini road trips to Indiana with my cousin,Draw my dog on a cool day at the park,0.05,0.04,1.1,0.0
21,Get Starbucks and go thrift shopping with my best friend,Draw my dog on a cool day at the park,0.01,0.05,8.8,0.0
22,go to my favorite coffee shop,Jam out with my band on Saturday nights after a long work week,0.02,0.05,4.4,1.0
23,Go on mini road trips to Indiana with my cousin,go to my favorite coffee shop,0.03,0.05,1.1,0.0
24,Watch bad reality TV on Sunday nights with friends,Play basketball on a sunny day,0.04,0.05,4.4,0.0
25,Play basketball on a sunny day,Go on mini road trips to Indiana with my cousin,0.05,0.05,3.3,1.0
26, Do monthly bowling outings with coworkers,Feed the birds in the park on a sunny day,0.01,0.01,4.4,0.0
27,Go to the city on Friday nights with my partner to try out a new restaurant,Draw pictures of my favorite anime characters in a light room,0.02,0.01,3.3,0.0
28,Draw pictures of my favorite anime characters in a light room,Watch football with my family,0.03,0.01,3.3,1.0
29,Play online video games with my two childhood friends on Tuesday nights,go to my favorite coffee shop,0.04,0.01,4.4,0.0
30,Organize soccer matches with my brothers,go to my favorite coffee shop,0.05,0.01,8.8,0.0
31,Jam out with my band on Saturday nights after a long work week,Look at the lake on a nice and sunny day,0.01,0.02,8.8,0.0
32,Watch football with my family,Look at the lake on a nice and sunny day,0.02,0.02,1.1,0.0
33,Eat my favorite foods and playing my favorite video games on a rainy day,Go to the city on Friday nights with my partner to try out a new restaurant,0.03,0.02,4.4,1.0
34,Play basketball on a sunny day,Watch football with my family,0.04,0.02,3.3,1.0
35,Feed the birds in the park on a sunny day,Organize soccer matches with my brothers,0.05,0.02,1.1,1.0
36,Eat my favorite foods and playing my favorite video games on a rainy day,Go on mini road trips to Indiana with my cousin,0.01,0.03,3.3,1.0
37,Go to the city on Friday nights with my partner to try out a new restaurant,Eat my favorite foods while watching my favorite animes,0.02,0.03,1.1,0.0
38,Eat my favorite foods and playing my favorite video games on a rainy day,Organize soccer matches with my brothers,0.03,0.03,1.1,1.0
39,Eat my favorite foods and playing my favorite video games on a rainy day,Get Starbucks and go thrift shopping with my best friend,0.04,0.03,3.3,1.0
40,Take a jog at the park on a cool day,Organize soccer matches with my brothers,0.05,0.03,4.4,1.0
41,Go to the bar with my classmates after a good Sunday evening study session,Eat my favorite foods while watching my favorite animes,0.01,0.04,1.1,0.0
42,Eat my favorite foods while watching my favorite animes, Do monthly bowling outings with coworkers,0.02,0.04,3.3,1.0
43,Feed the birds in the park on a sunny day,Go on mini road trips to Indiana with my cousin,0.03,0.04,1.1,1.0
44,Eat my favorite foods while watching my favorite animes,Go on mini road trips to Indiana with my cousin,0.04,0.04,1.1,1.0
45,Play basketball on a sunny day,Organize soccer matches with my brothers,0.05,0.04,4.4,1.0
46,Go to the bar with my classmates after a good Sunday evening study session,Draw pictures of my favorite anime characters in a light room,0.01,0.05,8.8,0.0
47,Jam out with my band on Saturday nights after a long work week,Eat my favorite foods and playing my favorite video games on a rainy day,0.02,0.05,1.1,0.0
48,Feed the birds in the park on a sunny day,Go to the city on Friday nights with my partner to try out a new restaurant,0.03,0.05,4.4,1.0
49,Go to the bar with my classmates after a good Sunday evening study session,go to my favorite coffee shop,0.04,0.05,3.3,0.0
50,Watch bad reality TV on Sunday nights with friends,Draw pictures of my favorite anime characters in a light room,0.05,0.05,1.1,0.0
51, Do monthly bowling outings with coworkers,Play basketball on a sunny day,0.01,0.01,1.1,0.0
52,Draw my dog on a cool day at the park,Go to the city on Friday nights with my partner to try out a new restaurant,0.02,0.01,3.3,1.0
53,Go on mini road trips to Indiana with my cousin,Take a jog at the park on a cool day,0.03,0.01,1.1,0.0
54,Play my favorite video games in a dark room,Go to the city on Friday nights with my partner to try out a new restaurant,0.04,0.01,4.4,1.0
55,Watch bad reality TV on Sunday nights with friends,Feed the birds in the park on a sunny day,0.05,0.01,1.1,0.0
56,Watch bad reality TV on Sunday nights with friends,Look at the lake on a nice and sunny day,0.01,0.02,8.8,0.0
57,Jam out with my band on Saturday nights after a long work week,Eat my favorite foods while watching my favorite animes,0.02,0.02,4.4,0.0
58,Eat my favorite foods while watching my favorite animes,Watch bad reality TV on Sunday nights with friends,0.03,0.02,4.4,1.0
59,Play my favorite video games in a dark room,Go to the bar with my classmates after a good Sunday evening study session,0.04,0.02,4.4,1.0
60,Eat my favorite foods and playing my favorite video games on a rainy day,Play online video games with my two childhood friends on Tuesday nights,0.05,0.02,1.1,1.0
61,Play my favorite video games in a dark room,Go on mini road trips to Indiana with my cousin,0.01,0.03,3.3,1.0
62,Play my favorite video games in a dark room, Do monthly bowling outings with coworkers,0.02,0.03,3.3,1.0
63,Jam out with my band on Saturday nights after a long work week,Play my favorite video games in a dark room,0.03,0.03,3.3,0.0
64,Watch football with my family,Feed the birds in the park on a sunny day,0.04,0.03,1.1,0.0
65,Play online video games with my two childhood friends on Tuesday nights,Eat my favorite foods while watching my favorite animes,0.05,0.03,1.1,0.0
66,Draw my dog on a cool day at the park,Organize soccer matches with my brothers,0.01,0.04,1.1,1.0
67,Feed the birds in the park on a sunny day,Go to the bar with my classmates after a good Sunday evening study session,0.02,0.04,8.8,1.0
68,Draw my dog on a cool day at the park,Go to the bar with my classmates after a good Sunday evening study session,0.03,0.04,4.4,1.0
69,Eat my favorite foods while watching my favorite animes,Get Starbucks and go thrift shopping with my best friend,0.04,0.04,1.1,1.0
70,Watch bad reality TV on Sunday nights with friends,Play my favorite video games in a dark room,0.05,0.04,1.1,0.0
71,Go on mini road trips to Indiana with my cousin,Look at the lake on a nice and sunny day,0.01,0.05,3.3,0.0
72,Watch bad reality TV on Sunday nights with friends,go to my favorite coffee shop,0.02,0.05,8.8,0.0
73,Play basketball on a sunny day,Play online video games with my two childhood friends on Tuesday nights,0.03,0.05,3.3,1.0
74,Eat my favorite foods and playing my favorite video games on a rainy day, Do monthly bowling outings with coworkers,0.04,0.05,4.4,1.0
75,Watch bad reality TV on Sunday nights with friends,Draw my dog on a cool day at the park,0.05,0.05,3.3,0.0
76,Take a jog at the park on a cool day,Play online video games with my two childhood friends on Tuesday nights,0.01,0.01,1.1,1.0
77,Get Starbucks and go thrift shopping with my best friend,Look at the lake on a nice and sunny day,0.02,0.01,8.8,0.0
78,Go to the bar with my classmates after a good Sunday evening study session,Eat my favorite foods and playing my favorite video games on a rainy day,0.03,0.01,1.1,0.0
79,Play online video games with my two childhood friends on Tuesday nights,Look at the lake on a nice and sunny day,0.04,0.01,1.1,0.0
80,Take a jog at the park on a cool day,Get Starbucks and go thrift shopping with my best friend,0.05,0.01,4.4,1.0
81,Go on mini road trips to Indiana with my cousin,Draw pictures of my favorite anime characters in a light room,0.01,0.02,3.3,0.0
82,Play online video games with my two childhood friends on Tuesday nights,Feed the birds in the park on a sunny day,0.02,0.02,4.4,0.0
83,Go to the city on Friday nights with my partner to try out a new restaurant,Play basketball on a sunny day,0.03,0.02,1.1,0.0
84,Take a jog at the park on a cool day,Watch bad reality TV on Sunday nights with friends,0.04,0.02,3.3,1.0
85,Take a jog at the park on a cool day,Jam out with my band on Saturday nights after a long work week,0.05,0.02,3.3,1.0
86,Eat my favorite foods while watching my favorite animes,Organize soccer matches with my brothers,0.01,0.03,1.1,1.0
87, Do monthly bowling outings with coworkers,go to my favorite coffee shop,0.02,0.03,4.4,0.0
