TrialNumber,right,left,leftmoney,rightmoney,WTP_ITI,social_left
1,Shop for gifts with my mom during the holiday season,Do prolific studies while sitting on a comfy couch with a cup of cappuccino,0.01,0.01,4.4,0.0
2,Reading a non-fiction book to learn better lifestyle skills,Go on weekend camping trips with my husband in the forest,0.02,0.01,8.8,1.0
3,Cook dinner with my family on a holiday evening while sharing stories,Do prolific studies while sitting on a comfy couch with a cup of cappuccino,0.03,0.01,3.3,0.0
4,Reading a non-fiction book to learn better lifestyle skills,Shop for gifts with my mom during the holiday season,0.04,0.01,1.1,1.0
5,Watch a movie marathon with my partner on a rainy Saturday evening at home,Relax and watch hulu specifically the handmaids tale,0.05,0.01,1.1,0.0
6,Grill with family during a summer barbecue in the backyard,Sketching ideas for new art projects at my desk with soft lighting,0.01,0.02,3.3,0.0
7,Doing colorful diamond paintings to ease my mind when Iâm stressed,Play board games with friends on a cozy winter night by the fireplace,0.02,0.02,1.1,1.0
8,Taking a peaceful walk through the neighborhood at sunset ,Go to the zoo with my child on a bright spring day,0.03,0.02,1.1,1.0
9,Shop for gifts with my mom during the holiday season,Sipping cappuccino and watching the rain from my living room window,0.04,0.02,4.4,0.0
10,Relax and watch hulu specifically the handmaids tale,Cook dinner with my family on a holiday evening while sharing stories,0.05,0.02,1.1,1.0
11,Grill with family during a summer barbecue in the backyard,Do prolific studies while sitting on a comfy couch with a cup of cappuccino,0.01,0.03,3.3,0.0
12,Planning future goals using a vision board with magazine cutouts and markers,Go to the zoo with my child on a bright spring day,0.02,0.03,4.4,1.0
13,Shop for gifts with my mom during the holiday season,Experimenting with new recipes in the kitchen while listening to relaxing music,0.03,0.03,1.1,0.0
14,Go to amusement parks with my husband on summer vacations,Sipping cappuccino and watching the rain from my living room window,0.04,0.03,3.3,0.0
15,Experimenting with new recipes in the kitchen while listening to relaxing music,Watch a movie marathon with my partner on a rainy Saturday evening at home,0.05,0.03,4.4,1.0
16,Go on weekend camping trips with my husband in the forest,Meditating in a quiet room with essential oils diffusing,0.01,0.04,1.1,0.0
17,Experimenting with new recipes in the kitchen while listening to relaxing music,Take weekend trips with my partner to explore new cities,0.02,0.04,8.8,1.0
18,Grill with family during a summer barbecue in the backyard,Reading a non-fiction book to learn better lifestyle skills,0.03,0.04,3.3,0.0
19,Cook dinner with my family on a holiday evening while sharing stories,Doing colorful diamond paintings to ease my mind when Iâm stressed,0.04,0.04,3.3,0.0
20,Relax and watch hulu specifically the handmaids tale,Grill with family during a summer barbecue in the backyard,0.05,0.04,1.1,1.0
21,Go on weekend camping trips with my husband in the forest,Relax and watch hulu specifically the handmaids tale,0.01,0.05,8.8,0.0
22,Taking a peaceful walk through the neighborhood at sunset ,Grill with family during a summer barbecue in the backyard,0.02,0.05,4.4,1.0
23,Bake cookies with my child during the winter holidays,Experimenting with new recipes in the kitchen while listening to relaxing music,0.03,0.05,1.1,0.0
24,Watch a movie marathon with my partner on a rainy Saturday evening at home,Doing colorful diamond paintings to ease my mind when Iâm stressed,0.04,0.05,4.4,0.0
25,Shop for gifts with my mom during the holiday season,Planning future goals using a vision board with magazine cutouts and markers,0.05,0.05,3.3,0.0
